date,city,captured_utc,n_buckets,book_sum,mode,mode_title,mode_p,top_open,bot_open,p_up2,p_dn2,cum_up2,cum_dn2,bid_up2,ask_up2,depth_up2,bid_dn2,ask_dn2,depth_dn2
2026-09-21,amsterdam,2026-09-20T09:28:31+00:00,11,1.0255,19,19°C,0.629,1,1,0.0146,0.0146,0.0239,0.0254,0.01,0.02,3615,0.01,0.02,3223
2026-09-21,ankara,2026-09-20T09:28:31+00:00,11,1.04,26,26°C,0.601,1,1,0.0014,0.0288,0.0029,0.0452,0.001,0.002,2769,0.02,0.04,5143
2026-09-21,beijing,2026-09-20T09:28:31+00:00,11,1.0435,31,31°C,0.4408,1,1,0.0043,0.0719,0.0048,0.104,0.003,0.006,3265,0.07,0.08,5215
2026-09-21,buenos-aires,2026-09-20T09:28:31+00:00,11,1.011,17,17°C,0.3511,1,1,0.1039,0.0495,0.1236,0.0801,0.09,0.12,2369,0.04,0.06,2328
2026-09-21,busan,2026-09-20T09:28:31+00:00,11,1.0155,29,29°C,0.4973,1,1,0.0015,0.0295,0.0039,0.0458,0.0,0.003,4271,0.02,0.04,6323
2026-09-21,cape-town,2026-09-20T09:28:31+00:00,11,1.0325,28,28°C,0.3584,1,1,0.0533,0.063,0.0838,0.1269,0.04,0.07,4403,0.05,0.08,2595
2026-09-21,chengdu,2026-09-20T09:28:31+00:00,11,1.1045,28,28°C,0.249,1,1,0.1901,0.0724,0.2168,0.1177,0.19,0.23,6568,0.06,0.1,3360
2026-09-21,chongqing,2026-09-20T09:28:31+00:00,11,0.9935,23,23°C,0.2919,1,1,0.1862,0.0252,0.2622,0.0282,0.18,0.19,2975,0.01,0.04,4634
2026-09-21,guangzhou,2026-09-20T09:28:31+00:00,11,1.02,36,36°C,0.3186,1,1,,0.1618,0,0.25,,,,0.15,0.18,5593
2026-09-21,helsinki,2026-09-20T09:28:31+00:00,11,1.0695,16,16°C,0.4208,1,1,0.0327,0.0327,0.0472,0.0505,0.03,0.04,3612,0.03,0.04,3516
2026-09-21,istanbul,2026-09-20T09:28:31+00:00,11,1.0515,25,25°C,0.5801,1,1,0.0095,0.019,0.0214,0.0323,0.0,0.02,1938,0.01,0.03,2347
2026-09-21,jeddah,2026-09-20T09:28:31+00:00,11,1.012,37,37°C,0.4002,1,1,0.0445,0.0494,0.0593,0.0662,0.03,0.06,3320,0.04,0.06,2995
2026-09-21,karachi,2026-09-20T09:28:31+00:00,11,1.0495,40,40°C,0.2811,1,1,0.0038,0.1858,0.0048,0.2997,0.002,0.006,2853,0.17,0.22,4690
2026-09-21,kuala-lumpur,2026-09-20T09:28:31+00:00,11,1.0635,33,33°C,0.4513,1,1,0.0329,0.0282,0.039,0.0395,0.02,0.05,2802,0.02,0.04,2811
2026-09-21,london,2026-09-20T09:28:31+00:00,11,1.036,22,22°C,0.4585,1,1,0.1062,0.0063,0.1091,0.0077,0.1,0.12,5374,0.004,0.009,6037
2026-09-21,lucknow,2026-09-20T09:28:31+00:00,11,1.0385,34,34°C,0.4863,1,1,0.0289,0.0241,0.0313,0.0395,0.02,0.04,2619,0.02,0.03,2878
2026-09-21,madrid,2026-09-20T09:28:31+00:00,11,1.0455,32,32°C,0.4591,1,1,0.0383,0.0019,0.0531,0.0086,0.03,0.05,4832,0.0,0.004,2982
2026-09-21,manila,2026-09-20T09:28:31+00:00,11,1.0365,33,33°C,0.3811,1,1,0.0014,0.1254,0.0053,0.1746,0.001,0.002,2434,0.11,0.15,4577
2026-09-21,mexico-city,2026-09-20T09:28:31+00:00,11,1.034,26,26°C,0.4691,1,1,,0.0097,0,0.0184,,,,0.0,0.02,3229
2026-09-21,milan,2026-09-20T09:28:31+00:00,11,1.04,30,30°C,0.5288,1,1,,0.0769,0,0.0913,,,,0.07,0.09,7368
2026-09-21,moscow,2026-09-20T09:28:31+00:00,11,1.0475,21,21°C,0.4344,1,1,0.0143,0.1146,0.0143,0.1838,0.0,0.03,1929,0.11,0.13,6296
2026-09-21,munich,2026-09-20T09:28:31+00:00,11,1.061,17,17°C,0.4241,1,1,0.0613,0.0189,0.0763,0.0283,0.06,0.07,3653,0.0,0.04,2836
2026-09-21,panama-city,2026-09-20T09:28:31+00:00,11,1.0245,31,31°C,0.4295,1,1,0.039,0.0488,0.039,0.0727,0.03,0.05,1266,0.04,0.06,2567
2026-09-21,paris,2026-09-20T09:28:31+00:00,11,1.009,23,23°C,0.4807,1,1,0.0025,0.0496,0.0094,0.059,0.002,0.003,5224,0.04,0.06,5500
2026-09-21,qingdao,2026-09-20T09:28:31+00:00,11,1.067,28,28°C,0.328,1,1,0.1312,0.0562,0.1884,0.0572,0.13,0.15,4001,0.05,0.07,4755
2026-09-21,sao-paulo,2026-09-20T09:28:31+00:00,11,1.0385,29,29°C,0.2215,1,1,0.2022,0.1156,0.273,0.1156,0.2,0.22,6814,0.1,0.14,2660
2026-09-21,seoul,2026-09-20T09:28:31+00:00,11,1.037,27,27°C,0.4147,1,1,0.0675,0.0058,0.0906,0.0077,0.05,0.09,4031,0.002,0.01,2682
2026-09-21,shanghai,2026-09-20T09:28:31+00:00,11,1.052,29,29°C,0.5276,1,1,0.0238,0.0428,0.0304,0.0475,0.02,0.03,7558,0.04,0.05,4481
2026-09-21,shenzhen,2026-09-20T09:28:31+00:00,11,1.0735,31,31°C,0.3074,1,1,0.1816,0.0279,0.2469,0.0312,0.19,0.2,4858,0.02,0.04,3538
2026-09-21,singapore,2026-09-20T09:28:31+00:00,11,1.0145,33,33°C,0.621,1,1,0.0064,0.0345,0.0123,0.0414,0.004,0.009,6202,0.03,0.04,9151
2026-09-21,taipei,2026-09-20T09:28:31+00:00,11,1.0165,32,32°C,0.5214,1,1,0.0541,0.0295,0.0664,0.0433,0.05,0.06,2633,0.02,0.04,2731
2026-09-21,tel-aviv,2026-09-20T09:28:31+00:00,11,1.028,31,31°C,0.5204,1,1,0.0005,0.0005,0.0063,0.0015,0.0,0.001,2534,0.0,0.001,2681
2026-09-21,tokyo,2026-09-20T09:28:31+00:00,11,1.0565,25,25°C,0.2982,1,1,0.0805,0.071,0.1297,0.08,0.08,0.09,6280,0.07,0.08,5352
2026-09-21,toronto,2026-09-20T09:28:31+00:00,11,1.036,16,16°C,0.362,1,1,0.0434,0.1255,0.0632,0.1404,0.03,0.06,3011,0.11,0.15,4519
2026-09-21,warsaw,2026-09-20T09:28:31+00:00,11,1.0335,15,15°C,0.4644,1,1,0.0194,0.0339,0.0218,0.0445,0.01,0.03,3660,0.02,0.05,3213
2026-09-21,wellington,2026-09-20T09:28:31+00:00,11,1.0275,15,15°C,0.6569,1,1,0.0146,0.0015,0.0175,0.0044,0.01,0.02,2498,0.001,0.002,2819
2026-09-21,wuhan,2026-09-20T09:28:31+00:00,11,1.0275,26,26°C,0.3066,1,1,0.0876,0.1119,0.1241,0.1119,0.05,0.13,2048,0.1,0.13,1826
2026-09-21,zhengzhou,2026-09-20T09:28:31+00:00,11,1.465,22,22°C or below,0.3345,1,1,0.1365,,0.5324,0,0.0,0.4,114,,,
2026-09-22,amsterdam,2026-09-21T10:12:58+00:00,11,1.0255,20,20°C,0.4681,1,1,0.0146,0.1268,0.0171,0.1297,0.01,0.02,3392,0.12,0.14,5327
2026-09-22,ankara,2026-09-21T10:12:58+00:00,11,1.026,24,24°C,0.3558,1,1,0.1316,0.0292,0.1374,0.0585,0.12,0.15,4769,0.02,0.04,2467
2026-09-22,beijing,2026-09-21T10:12:58+00:00,11,1.0345,31,31°C,0.5075,1,1,0.0029,0.0532,0.0043,0.0725,0.001,0.005,3535,0.05,0.06,7879
2026-09-22,buenos-aires,2026-09-21T10:12:58+00:00,11,1.042,14,14°C,0.4031,1,1,0.024,0.0768,0.0259,0.1152,0.02,0.03,2202,0.06,0.1,3298
2026-09-22,busan,2026-09-21T10:12:58+00:00,11,1.0015,28,28°C,0.644,1,1,0.0115,0.015,0.0145,0.017,0.005,0.018,6641,0.01,0.02,5016
2026-09-22,cape-town,2026-09-21T10:12:58+00:00,11,1.008,31,31°C,0.253,1,1,0.1339,0.0694,0.1617,0.1389,0.13,0.14,2635,0.05,0.09,2633
2026-09-22,chengdu,2026-09-21T10:12:58+00:00,11,1.0675,26,26°C,0.2436,1,1,0.1546,0.1265,0.1897,0.1733,0.16,0.17,5030,0.13,0.14,5021
